118.142872 , 24.482355 | 118.131383952 , 24.4793571354
118.139845 , 24.497934 | 118.128340215 , 24.4949494922
118.125651 , 24.715967 | 118.114121881 , 24.7129533813
118.04463 , 24.458569 | 118.033210487 , 24.4552815779
118.085833 , 24.490253 | 118.074408778 , 24.4866004385
118.106485 , 24.517556 | 118.094985484 , 24.5142246474
118.122629 , 24.481332 | 118.1111168 , 24.4782639233
118.164212 , 24.737944 | 118.15280927 , 24.7346812801
118.122116 , 24.543456 | 118.11060403 , 24.5403930512
118.135179 , 24.55631 | 118.123678615 , 24.5533477915
118.020334 , 24.533254 | 118.008868595 , 24.5303663054
118.125038 , 24.491988 | 118.1135127 , 24.4889542035
118.165111 , 24.48203 | 118.153748107 , 24.4787488248
118.046403 , 24.570615 | 118.034983544 , 24.5673008338
118.092995 , 24.637447 | 118.081529222 , 24.6338931628
118.1338 , 24.499778 | 118.122273585 , 24.4967941129
118.260156 , 24.670322 | 118.248867784 , 24.6674983304
118.109665 , 24.526461 | 118.098154325 , 24.5231915917
118.133589 , 24.501543 | 118.122065693 , 24.4985628094
118.252375 , 24.629853 | 118.24106209 , 24.6270327921
118.150975 , 24.48822 | 118.139522502 , 24.4851531512
118.080645 , 24.46948 | 118.069251769 , 24.46578789
118.15322 , 24.498092 | 118.141768614 , 24.4949965366
118.085825 , 24.490132 | 118.07439506 , 24.4864731855
118.129264 , 24.690426 | 118.117752837 , 24.6874374906
118.113632 , 24.602383 | 118.10212646 , 24.5991981587
118.208292 , 24.718914 | 118.19707711 , 24.7154423675
118.22574 , 24.673322 | 118.21450659 , 24.6701578472
118.098671 , 24.471996 | 118.087224512 , 24.4685238783
118.080283 , 24.460534 | 118.068888154 , 24.4568402174
118.102372 , 24.517374 | 118.090878935 , 24.5139648076
118.113364 , 24.478941 | 118.101869039 , 24.4757334116
118.105714 , 24.471134 | 118.094244982 , 24.4677911003
118.112827 , 24.472676 | 118.101335953 , 24.4694676048
118.147337 , 24.734642 | 118.135839397 , 24.7316220994
118.127782 , 24.513525 | 118.116247492 , 24.5105164015
118.132196 , 24.482376 | 118.120685893 , 24.4793908464
118.045972 , 24.501802 | 118.034517681 , 24.4984896836
118.052009 , 24.560601 | 118.040598239 , 24.5571799864
117.988267 , 24.493562 | 117.976955519 , 24.4904813609
118.086256 , 24.465023 | 118.074847328 , 24.4613701361
118.118353 , 24.435475 | 118.106862228 , 24.4323484702
118.124052 , 24.686529 | 118.112544867 , 24.6834950492
118.035257 , 24.569877 | 118.023815371 , 24.5667921353
117.987988 , 24.480943 | 117.976687096 , 24.4778596848
118.120559 , 24.694466 | 118.109055797 , 24.6913887437
118.157825 , 24.550007 | 118.146419093 , 24.546855612
118.140823 , 24.797857 | 118.12932614 , 24.7948790319
118.260048 , 24.670395 | 118.248762957 , 24.6675805688
118.312045 , 24.776828 | 118.300829781 , 24.7732446224
118.203454 , 24.721179 | 118.192236726 , 24.7176529742
118.007617 , 24.494394 | 117.996196515 , 24.4915206779
118.086003 , 24.490109 | 118.074573035 , 24.4864544696
118.120122 , 24.509973 | 118.10858966 , 24.5068721353
118.246875 , 24.585483 | 118.235604758 , 24.5826452978
118.152236 , 24.71286 | 118.140789177 , 24.7097916116
118.196556 , 24.517574 | 118.185324976 , 24.5140011106
118.103467 , 24.515984 | 118.091970699 , 24.5125975987
118.123334 , 24.509891 | 118.111795844 , 24.5068374811
118.151554 , 24.483042 | 118.140110693 , 24.4799714295
118.100005 , 24.475844 | 118.088548349 , 24.4723930052
118.131396 , 24.491493 | 118.119871629 , 24.4885058834
118.099828 , 24.444268 | 118.088389839 , 24.440810338
118.0034 , 24.612366 | 117.991987345 , 24.6094796928
118.115097 , 24.485293 | 118.103594969 , 24.482119802
118.052615 , 24.577326 | 118.041208835 , 24.5738887118
118.085349 , 24.468565 | 118.073948302 , 24.4649083046
118.195002 , 24.498884 | 118.183769832 , 24.4952998211
118.01071 , 24.52676 | 117.999269042 , 24.5239061631
118.136199 , 24.479311 | 118.124702637 , 24.4763356219
118.125046 , 24.491982 | 118.113520006 , 24.4889463539
118.252903 , 24.635214 | 118.241594434 , 24.6323958726
117.996232 , 24.600235 | 117.984875971 , 24.5972775324
118.14209 , 24.756084 | 118.130562368 , 24.7530937904
118.158032 , 24.449666 | 118.146641442 , 24.4464980876
118.139473 , 24.503097 | 118.127961651 , 24.5001180464
118.100174 , 24.475856 | 118.088724059 , 24.472405525
118.149012 , 24.737051 | 118.137519778 , 24.7340109329
118.154747 , 24.727164 | 118.14329331 , 24.7240522966
118.120383 , 24.48104 | 118.108878987 , 24.4779436345
118.155363 , 24.731602 | 118.143910305 , 24.7284799033
118.161219 , 24.74226 | 118.149797333 , 24.7390534505
118.149148 , 24.730581 | 118.137666898 , 24.7275448028
118.017007 , 24.529918 | 118.005549489 , 24.5270528393
118.00325 , 24.621339 | 117.991829822 , 24.618454308
118.113852 , 24.59835 | 118.102351702 , 24.595164964
118.122712 , 24.476086 | 118.111206496 , 24.4730234889
118.035277 , 24.569966 | 118.023832674 , 24.5668799806
118.129906 , 24.503486 | 118.118374886 , 24.5004869655
118.144686 , 24.523539 | 118.133190878 , 24.5205355694
118.010745 , 24.605256 | 117.999305009 , 24.6024088418
118.045039 , 24.560657 | 118.033615156 , 24.5573711801
118.154272 , 24.728421 | 118.142817109 , 24.7253184049
118.12396 , 24.542081 | 118.112441828 , 24.5390357674
118.139994 , 24.497877 | 118.128484328 , 24.4948950059
118.057508 , 24.569931 | 118.046105935 , 24.5664114837
118.313507 , 24.657405 | 118.302298547 , 24.6538196587
118.093574 , 24.636895 | 118.082104198 , 24.6333418364
118.32364 , 24.643595 | 118.312405047 , 24.640018395
118.072239 , 24.752218 | 118.060800185 , 24.7485287011
118.030189 , 24.596887 | 118.018725972 , 24.5938895721
118.112367 , 24.532946 | 118.10085611 , 24.5297299225
118.192054 , 24.522421 | 118.180809043 , 24.5188418432
118.130764 , 24.490657 | 118.119238517 , 24.4876655035
118.107924 , 24.468152 | 118.096452155 , 24.4648471174
118.124433 , 24.541797 | 118.112916727 , 24.5387583137
117.979587 , 24.601312 | 117.968333756 , 24.5981101981
